Min,Max,Median,Mean,Point_id
0.31277025,0.71095794,0.3383823,0.3802517,29201666
0.16778134,0.28894952,0.18585065,0.1889482,29201738
0.1613686,0.3682142,0.19977772,0.21757208,29221700
0.20953526,0.3375984,0.2880454,0.2862312,29221704
0.36759123,0.5237192,0.449375,0.44993395,29261662
0.3764389,0.45255265,0.43012637,0.42844573,29261670
0.6412536,0.76176864,0.7377423,0.7289093,29261730
0.20505431,0.38653496,0.308087,0.29934883,28721932
0.29860967,0.43770415,0.37957352,0.37207246,28962042
0.23361035,0.2820513,0.2630225,0.2621853,29041870
0.1137333,0.18351239,0.14367734,0.14444989,29281750
0.07560558,0.26378474,0.22600757,0.21325985,29281840
0.22768404,0.30718166,0.25007024,0.2501723,29281846
0.49620894,0.70382977,0.6018853,0.60790485,29282026
0.18558207,0.24470136,0.21406162,0.21322852,29301690
0.23476702,0.28751752,0.26523545,0.26399088,29301726
0.20366599,0.2881002,0.23195876,0.23512961,29321682
0.24389589,0.39697134,0.2956849,0.296251,29321686
0.120099254,0.14300281,0.12953092,0.12983412,29321746
0.12802419,0.24725102,0.19215782,0.18644425,29341684
0.24392481,0.5222312,0.4424433,0.43177888,29341696
0.15462583,0.2899106,0.19723354,0.200394,29342128
0.17008682,0.49898872,0.3040098,0.3134225,29342170
0.30032292,0.6340058,0.37765205,0.41277862,29342206
0.18586789,0.28973058,0.20680179,0.2098362,29342236
0.14780247,0.19041704,0.16577008,0.16550104,29361700
0.73701704,0.91010386,0.8656765,0.8606343,29361794
0.47856462,0.66796225,0.61668146,0.59529203,29381732
0.72043437,0.74001193,0.73049647,0.73058695,29381756
0.27096596,0.42402497,0.34313872,0.34517837,29382056
0.22534291,0.8529098,0.45623067,0.47438952,29382188
0.456778,0.67325044,0.5976692,0.5901765,29401708
0.13275039,0.19043793,0.15425532,0.15645131,29441752
0.27121663,0.32458594,0.30910593,0.30506974,29461720
0.15797101,0.18565816,0.16893204,0.16936061,29461732
0.22295702,0.44819984,0.33890793,0.32972458,29462044
0.2236842,0.436845,0.30731708,0.31192684,29462056
0.18246686,0.49479294,0.19191068,0.19815212,29481730
0.19164619,0.2548495,0.21611471,0.21895581,29481906
0.24894957,0.49651518,0.31529063,0.33517495,29501704
0.32004735,0.4480035,0.37411815,0.3780927,29501736
0.40520617,0.4828564,0.43434834,0.4380379,29521732
0.539435,0.56169516,0.54805917,0.54834414,29521756
0.24043716,0.293401,0.2655883,0.26526156,29521760
0.119953595,0.1529668,0.14405957,0.14027667,29541718
0.18441722,0.2849132,0.21698985,0.21814747,29541898
0.56927425,0.8516141,0.8248069,0.8129966,29562426
0.18810749,0.39475092,0.34920636,0.3357319,29581834
0.37145007,0.666104,0.6278184,0.60769707,29581924
0.40285072,0.5849972,0.4716812,0.46477792,29582312
0.07465135,0.116456665,0.09339854,0.0927182,29621680
0.31957185,0.54851294,0.39790303,0.41132703,29621748
0.19772942,0.4445201,0.24914782,0.25459534,29641674
0.11599444,0.6561777,0.1389901,0.18174481,29641894
0.0,0.02213907,0.006182177,0.008602005,29661672
0.12198453,0.2043172,0.13880804,0.14195116,29661680
0.51747525,0.62818456,0.60594964,0.59982634,29661762
0.12173518,0.17398416,0.13684697,0.13828075,29681628
0.3434966,0.46091306,0.4019314,0.40417472,29681740
0.15465465,0.25762537,0.18476327,0.18872462,29681848
0.6026376,0.8406828,0.78669864,0.77646047,29682214
0.1500664,0.20600414,0.17248015,0.1732104,29701706
0.09391471,0.11694187,0.1040421,0.10409501,29701714
0.0726464,0.10327456,0.09080385,0.090198666,29701724
0.42125764,0.58304465,0.49538094,0.49228197,29702162
0.31522405,0.5579585,0.43994105,0.4441486,29741732
0.3477868,0.83114034,0.53440154,0.57303506,29762162
0.11037699,0.23891403,0.1259466,0.12691753,29781702
0.3314736,0.7457954,0.64515394,0.6151728,29782170
0.24476485,0.3478261,0.27799094,0.2788075,29821720
0.5804085,0.84798414,0.7575916,0.73644483,29842170
0.55666876,0.7830452,0.68968844,0.6823733,29881822
0.11676467,0.21377912,0.1374554,0.14128865,29901692
